0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,13
0,14
0,15
0,16
0,17
0,19
0,20
0,21
0,22
0,24
0,25
0,26
0,28
0,31
0,32
0,33
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
1,7
1,8
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,38
1,39
1,40
1,41
1,42
1,45
2,6
2,7
2,8
2,10
2,11
2,14
2,17
2,20
2,30
2,31
2,32
2,33
2,34
2,36
2,37
2,38
2,42
2,43
2,44
3,0
3,6
3,7
3,8
3,9
3,10
3,11
3,14
3,16
3,17
3,19
3,20
3,21
3,24
3,36
3,37
3,38
3,43
3,44
4,0
4,7
4,8
4,11
4,14
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,36
4,37
4,41
4,42
4,43
4,45
5,0
5,6
5,7
5,8
5,9
5,10
5,11
5,13
5,14
5,15
5,16
5,17
5,19
5,20
5,21
5,22
5,24
5,25
5,26
5,28
5,31
5,32
5,36
5,37
5,38
5,39
5,41
5,42
5,43
5,44
5,45
6,0
6,2
6,3
6,5
6,11
6,14
6,17
6,20
6,30
6,31
6,32
6,33
6,34
6,35
6,38
6,42
6,45
7,0
7,1
7,2
7,3
7,4
7,5
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,38
7,39
7,40
7,41
7,42
7,44
7,45
8,0
8,1
8,2
8,3
8,4
8,5
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,38
8,39
8,40
8,41
8,42
8,44
8,45
9,0
9,3
9,5
9,14
9,17
9,20
9,21
9,32
9,33
9,34
9,35
9,38
9,44
10,0
10,2
10,3
10,5
10,14
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,42
10,45
11,0
11,2
11,3
11,4
11,5
11,6
11,14
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,39
11,40
11,41
11,42
11,45
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,28
12,31
12,32
12,33
12,34
12,38
12,39
12,40
12,41
12,42
12,44
12,45
13,0
13,5
13,17
13,19
13,20
13,21
13,24
13,25
13,38
13,44
14,0
14,2
14,3
14,4
14,5
14,6
14,9
14,10
14,11
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,37
14,39
14,40
14,41
14,42
14,43
14,45
15,0
15,5
15,19
15,20
15,21
15,24
15,38
15,44
16,0
16,3
16,5
16,20
16,30
16,31
16,32
